system:index,landcover,.geo
0,16,"{""type"":""Point"",""coordinates"":[-70.02639700971463,12.544380358137937]}"
1,16,"{""type"":""Point"",""coordinates"":[-70.02666523061612,12.544673594074103]}"
2,16,"{""type"":""Point"",""coordinates"":[-70.02667595945218,12.54385672170708]}"
3,16,"{""type"":""Point"",""coordinates"":[-70.02959737848272,12.544312048068218]}"
4,16,"{""type"":""Point"",""coordinates"":[-70.03017673562994,12.544280629904058]}"
5,16,"{""type"":""Point"",""coordinates"":[-70.04234696642352,12.547862231461012]}"
6,16,"{""type"":""Point"",""coordinates"":[-70.04184271112872,12.547568999156507]}"
7,16,"{""type"":""Point"",""coordinates"":[-70.04129554048968,12.547254821316738]}"
8,16,"{""type"":""Point"",""coordinates"":[-70.04205728784991,12.547244348715468]}"
9,16,"{""type"":""Point"",""coordinates"":[-70.04926263890258,12.548625497160165]}"
10,16,"{""type"":""Point"",""coordinates"":[-70.0490158756732,12.549054871158836]}"
11,16,"{""type"":""Point"",""coordinates"":[-70.0467628201007,12.550091649324806]}"
12,16,"{""type"":""Point"",""coordinates"":[-70.0462049206256,12.550238264081948]}"
13,16,"{""type"":""Point"",""coordinates"":[-70.05418069974715,12.551135033430157]}"
14,16,"{""type"":""Point"",""coordinates"":[-70.05397685186202,12.551773851671209]}"
15,16,"{""type"":""Point"",""coordinates"":[-70.05050070897872,12.551798045511427]}"
16,16,"{""type"":""Point"",""coordinates"":[-70.05070455686385,12.552332138183326]}"
17,16,"{""type"":""Point"",""coordinates"":[-70.05085476056868,12.55183993517281]}"
18,16,"{""type"":""Point"",""coordinates"":[-70.05072601453597,12.551766628260914]}"
19,16,"{""type"":""Point"",""coordinates"":[-70.05067237035567,12.552049383377465]}"
20,16,"{""type"":""Point"",""coordinates"":[-70.04741749349508,12.555582965046938]}"
21,16,"{""type"":""Point"",""coordinates"":[-70.04705271306905,12.55552013146635]}"
22,16,"{""type"":""Point"",""coordinates"":[-70.0469346958724,12.556305550120573]}"
23,16,"{""type"":""Point"",""coordinates"":[-70.04622659269246,12.555530603730846]}"
24,16,"{""type"":""Point"",""coordinates"":[-70.04614076200399,12.555813354711097]}"
25,16,"{""type"":""Point"",""coordinates"":[-70.0462158638564,12.556693022440006]}"
26,16,"{""type"":""Point"",""coordinates"":[-70.0466486572267,12.5642570606561]}"
27,16,"{""type"":""Point"",""coordinates"":[-70.04645553817763,12.564382723532662]}"
28,16,"{""type"":""Point"",""coordinates"":[-70.05091019796723,12.564035010159909]}"
29,16,"{""type"":""Point"",""coordinates"":[-70.05271264242523,12.561731177881164]}"
30,16,"{""type"":""Point"",""coordinates"":[-70.0482485310348,12.565784539839076]}"
31,16,"{""type"":""Point"",""coordinates"":[-70.047438434277,12.5678527892115]}"
32,16,"{""type"":""Point"",""coordinates"":[-70.04647283903164,12.56933977517756]}"
33,16,"{""type"":""Point"",""coordinates"":[-70.04516748718655,12.57340327754817]}"
34,16,"{""type"":""Point"",""coordinates"":[-70.0436370317921,12.578281789236861]}"
35,16,"{""type"":""Point"",""coordinates"":[-70.04282164025157,12.578260846561328]}"
36,16,"{""type"":""Point"",""coordinates"":[-70.04344030496557,12.58029586994214]}"
37,16,"{""type"":""Point"",""coordinates"":[-70.03147001325456,12.580881254512175]}"
38,16,"{""type"":""Point"",""coordinates"":[-70.02616596454493,12.586053066826274]}"
39,16,"{""type"":""Point"",""coordinates"":[-70.0348113717027,12.588423749076727]}"
