system:index,landcover,.geo
0,2,"{""type"":""Point"",""coordinates"":[-70.05008604438314,12.561969362424989]}"
1,2,"{""type"":""Point"",""coordinates"":[-70.05107309730062,12.56058705442984]}"
2,2,"{""type"":""Point"",""coordinates"":[-70.05128767402181,12.559770232576422]}"
3,2,"{""type"":""Point"",""coordinates"":[-70.05077268989095,12.560126283446884]}"
4,2,"{""type"":""Point"",""coordinates"":[-70.05156662375936,12.559309460129967]}"
5,2,"{""type"":""Point"",""coordinates"":[-70.05077268989095,12.561152544962354]}"
6,2,"{""type"":""Point"",""coordinates"":[-70.00609092721858,12.527928005659271]}"
7,2,"{""type"":""Point"",""coordinates"":[-70.00590853700557,12.528231733693673]}"
8,2,"{""type"":""Point"",""coordinates"":[-70.01543517243057,12.548622730095618]}"
9,2,"{""type"":""Point"",""coordinates"":[-70.01566047798782,12.548968323861823]}"
10,2,"{""type"":""Point"",""coordinates"":[-70.01528496872574,12.549125411783994]}"
11,2,"{""type"":""Point"",""coordinates"":[-70.01590155764872,12.54963280953394]}"
12,2,"{""type"":""Point"",""coordinates"":[-70.01581572696024,12.549643282038023]}"
13,2,"{""type"":""Point"",""coordinates"":[-70.05105995341593,12.559445358970406]}"
14,2,"{""type"":""Point"",""coordinates"":[-69.97194742246285,12.479755162876613]}"
15,2,"{""type"":""Point"",""coordinates"":[-69.97238730474129,12.477954831563261]}"
16,2,"{""type"":""Point"",""coordinates"":[-69.97283586654817,12.4773669718923]}"
17,2,"{""type"":""Point"",""coordinates"":[-69.97299679908906,12.47682196271342]}"
18,2,"{""type"":""Point"",""coordinates"":[-69.97312018070375,12.476219623158686]}"
19,2,"{""type"":""Point"",""coordinates"":[-69.97318991813813,12.475497070979593]}"
20,2,"{""type"":""Point"",""coordinates"":[-70.00609589482683,12.52788001524824]}"
21,2,"{""type"":""Point"",""coordinates"":[-70.00603899825838,12.528144959593625]}"
22,2,"{""type"":""Point"",""coordinates"":[-70.05189055914157,12.559061852180541]}"
