system:index,landcover,.geo
0,14,"{""type"":""Point"",""coordinates"":[-69.95225546770283,12.450832619741355]}"
1,14,"{""type"":""Point"",""coordinates"":[-69.95191214494892,12.45127263273192]}"
2,14,"{""type"":""Point"",""coordinates"":[-69.95259879045673,12.451230726764969]}"
3,14,"{""type"":""Point"",""coordinates"":[-69.95240567140766,12.451859315558693]}"
4,14,"{""type"":""Point"",""coordinates"":[-69.95298502855488,12.451712644976366]}"
5,14,"{""type"":""Point"",""coordinates"":[-69.95298502855488,12.452089797734871]}"
6,14,"{""type"":""Point"",""coordinates"":[-69.95337126665302,12.452026938979852]}"
7,14,"{""type"":""Point"",""coordinates"":[-69.95337126665302,12.45248790282967]}"
8,14,"{""type"":""Point"",""coordinates"":[-69.95392916612812,12.452404091281528]}"
9,14,"{""type"":""Point"",""coordinates"":[-69.95360730104633,12.451922174354324]}"
10,14,"{""type"":""Point"",""coordinates"":[-69.95322106294819,12.451565974311116]}"
11,14,"{""type"":""Point"",""coordinates"":[-69.95287774019428,12.45127263273192]}"
12,14,"{""type"":""Point"",""coordinates"":[-69.95247004442402,12.451000243825733]}"
13,14,"{""type"":""Point"",""coordinates"":[-69.95281447321517,12.451324643982195]}"
14,14,"{""type"":""Point"",""coordinates"":[-69.95281447321517,12.451324643982195]}"
15,14,"{""type"":""Point"",""coordinates"":[-69.95281447321517,12.451324643982195]}"
16,14,"{""type"":""Point"",""coordinates"":[-69.95358694941146,12.451659891407008]}"
17,14,"{""type"":""Point"",""coordinates"":[-69.95382298380477,12.452131332365337]}"
18,14,"{""type"":""Point"",""coordinates"":[-69.95358694941146,12.452466578747897]}"
19,14,"{""type"":""Point"",""coordinates"":[-69.95354403406722,12.452393243638717]}"
20,14,"{""type"":""Point"",""coordinates"":[-69.95320071131331,12.452351337852752]}"
21,14,"{""type"":""Point"",""coordinates"":[-69.95258916765792,12.451921803156269]}"
22,14,"{""type"":""Point"",""coordinates"":[-69.95227803141219,12.45149226774875]}"
23,14,"{""type"":""Point"",""coordinates"":[-69.952063454691,12.45126178504182]}"
24,14,"{""type"":""Point"",""coordinates"":[-69.95239604860885,12.451251308550278]}"
25,14,"{""type"":""Point"",""coordinates"":[-69.95223511606795,12.451157020107365]}"
26,14,"{""type"":""Point"",""coordinates"":[-69.95281447321517,12.451146543611582]}"
27,14,"{""type"":""Point"",""coordinates"":[-69.9534152880345,12.451659891407006]}"
28,14,"{""type"":""Point"",""coordinates"":[-69.95396245867354,12.452131332365337]}"
29,14,"{""type"":""Point"",""coordinates"":[-69.95417703539474,12.452456102304991]}"
30,14,"{""type"":""Point"",""coordinates"":[-69.95381225496872,12.45281230112623]}"
31,14,"{""type"":""Point"",""coordinates"":[-69.95369423777205,12.452487531632427]}"
32,14,"{""type"":""Point"",""coordinates"":[-69.9532328978215,12.452257049809557]}"
