system:index,landcover,.geo
0,10,"{""type"":""Point"",""coordinates"":[-69.98627467605202,12.557433196167185]}"
1,10,"{""type"":""Point"",""coordinates"":[-69.98600645515053,12.557171391363214]}"
2,10,"{""type"":""Point"",""coordinates"":[-69.98555584403603,12.55692005850071]}"
3,10,"{""type"":""Point"",""coordinates"":[-69.98528762313454,12.55670014204458]}"
4,10,"{""type"":""Point"",""coordinates"":[-69.98471899482338,12.55644880872166]}"
5,10,"{""type"":""Point"",""coordinates"":[-69.9843434855613,12.556438336494537]}"
6,10,"{""type"":""Point"",""coordinates"":[-69.98391433211891,12.55659541985654]}"
7,10,"{""type"":""Point"",""coordinates"":[-69.98767701845574,12.557985161353422]}"
8,10,"{""type"":""Point"",""coordinates"":[-69.98841730814385,12.558383103291158]}"
9,10,"{""type"":""Point"",""coordinates"":[-69.9899152602575,12.561395844642377]}"
10,10,"{""type"":""Point"",""coordinates"":[-69.99074138063409,12.56210794138871]}"
11,10,"{""type"":""Point"",""coordinates"":[-69.99126709360101,12.5629838337992]}"
12,10,"{""type"":""Point"",""coordinates"":[-69.99247354483393,12.564999148527264]}"
13,10,"{""type"":""Point"",""coordinates"":[-69.99299925780085,12.565376135884431]}"
14,10,"{""type"":""Point"",""coordinates"":[-69.99340695357111,12.565763594536492]}"
15,10,"{""type"":""Point"",""coordinates"":[-69.99373954748896,12.566077749771585]}"
16,10,"{""type"":""Point"",""coordinates"":[-69.99456330562131,12.567208743987283]}"
17,10,"{""type"":""Point"",""coordinates"":[-69.9949924590637,12.567564784556195]}"
18,10,"{""type"":""Point"",""coordinates"":[-69.9954430701782,12.567638086965047]}"
19,10,"{""type"":""Point"",""coordinates"":[-69.99593659663694,12.567920824631878]}"
20,10,"{""type"":""Point"",""coordinates"":[-69.99561473155515,12.568255920723134]}"
21,10,"{""type"":""Point"",""coordinates"":[-70.00304322308929,12.572235548416861]}"
22,10,"{""type"":""Point"",""coordinates"":[-70.00265698499115,12.572204133663417]}"
23,10,"{""type"":""Point"",""coordinates"":[-70.00521044797333,12.573795809671262]}"
24,10,"{""type"":""Point"",""coordinates"":[-70.00512461728485,12.57367015139761]}"
25,10,"{""type"":""Point"",""coordinates"":[-70.00475983685882,12.573732980542129]}"
26,10,"{""type"":""Point"",""coordinates"":[-70.0078836744155,12.57427223887747]}"
27,10,"{""type"":""Point"",""coordinates"":[-70.00697172335043,12.574544497754529]}"
28,10,"{""type"":""Point"",""coordinates"":[-70.00806809367486,12.578191058995397]}"
29,10,"{""type"":""Point"",""coordinates"":[-70.01578336269029,12.58655130862994]}"
30,10,"{""type"":""Point"",""coordinates"":[-70.01659875423081,12.587116742007597]}"
31,10,"{""type"":""Point"",""coordinates"":[-70.01689916164048,12.587472754976519]}"
32,10,"{""type"":""Point"",""coordinates"":[-70.01877456948718,12.588959167501125]}"
33,10,"{""type"":""Point"",""coordinates"":[-70.01907255223337,12.590053877105953]}"
34,10,"{""type"":""Point"",""coordinates"":[-70.01841809323373,12.591111431490011]}"
35,10,"{""type"":""Point"",""coordinates"":[-70.01836661360193,12.592324412841338]}"
36,10,"{""type"":""Point"",""coordinates"":[-70.01874212286401,12.592910774976685]}"
37,10,"{""type"":""Point"",""coordinates"":[-70.01957604349965,12.594682052900225]}"
38,10,"{""type"":""Point"",""coordinates"":[-70.01998084767231,12.597062299143651]}"
39,10,"{""type"":""Point"",""coordinates"":[-70.0203348992623,12.597523003850743]}"
