system:index,landcover,.geo
0,1,"{""type"":""Point"",""coordinates"":[-69.97301672582041,12.47527513661188]}"
1,1,"{""type"":""Point"",""coordinates"":[-69.97280920981896,12.476427710354631]}"
2,1,"{""type"":""Point"",""coordinates"":[-69.9721041380518,12.48028055081149]}"
3,1,"{""type"":""Point"",""coordinates"":[-69.97169661708094,12.479265646836257]}"
4,1,"{""type"":""Point"",""coordinates"":[-69.97232961840845,12.4791085163966]}"
5,1,"{""type"":""Point"",""coordinates"":[-69.97224378771998,12.478511419856199]}"
6,1,"{""type"":""Point"",""coordinates"":[-69.97273634095318,12.477984787714371]}"
7,1,"{""type"":""Point"",""coordinates"":[-69.97303674836284,12.477387688582416]}"
8,1,"{""type"":""Point"",""coordinates"":[-69.97239301819927,12.477523869207403]}"
9,1,"{""type"":""Point"",""coordinates"":[-70.00954215553779,12.489352014829102]}"
10,1,"{""type"":""Point"",""coordinates"":[-70.00913445976752,12.490483307082414]}"
11,1,"{""type"":""Point"",""coordinates"":[-70.00907008675117,12.489833862134498]}"
12,1,"{""type"":""Point"",""coordinates"":[-70.00874822166938,12.491928839983132]}"
13,1,"{""type"":""Point"",""coordinates"":[-70.0085551026203,12.491530795497699]}"
14,1,"{""type"":""Point"",""coordinates"":[-70.00784699944039,12.491467946312415]}"
15,1,"{""type"":""Point"",""coordinates"":[-69.96328129157668,12.459770767469696]}"
16,1,"{""type"":""Point"",""coordinates"":[-69.96293796882279,12.459519339803547]}"
17,1,"{""type"":""Point"",""coordinates"":[-69.96220840797072,12.459184102536117]}"
18,1,"{""type"":""Point"",""coordinates"":[-69.96160759315138,12.458848864835298]}"
19,1,"{""type"":""Point"",""coordinates"":[-69.95929016456252,12.457382194798889]}"
20,1,"{""type"":""Point"",""coordinates"":[-69.9591614185298,12.456460283673593]}"
21,1,"{""type"":""Point"",""coordinates"":[-69.9591614185298,12.455622179807094]}"
22,1,"{""type"":""Point"",""coordinates"":[-69.95757355079299,12.454951694764194]}"
23,1,"{""type"":""Point"",""coordinates"":[-69.95830311164504,12.455412653417355]}"
24,1,"{""type"":""Point"",""coordinates"":[-69.95973447159824,12.457066843464213]}"
25,1,"{""type"":""Point"",""coordinates"":[-69.95973447159824,12.456563982645232]}"
26,1,"{""type"":""Point"",""coordinates"":[-69.9628243763834,12.459329705084016]}"
27,1,"{""type"":""Point"",""coordinates"":[-69.96329644517002,12.459329705084018]}"
28,1,"{""type"":""Point"",""coordinates"":[-70.02310889861414,12.495052509738938]}"
29,1,"{""type"":""Point"",""coordinates"":[-70.02276557586023,12.494675419533722]}"
30,1,"{""type"":""Point"",""coordinates"":[-70.02147811553309,12.493586044740525]}"
31,1,"{""type"":""Point"",""coordinates"":[-70.02096313140223,12.4930832548265]}"
32,1,"{""type"":""Point"",""coordinates"":[-70.01989024779627,12.491951973945666]}"
33,1,"{""type"":""Point"",""coordinates"":[-70.01937526366541,12.491407281386206]}"
34,1,"{""type"":""Point"",""coordinates"":[-70.01804488799402,12.490401692108769]}"
35,1,"{""type"":""Point"",""coordinates"":[-70.01774448058435,12.490066494814151]}"
36,1,"{""type"":""Point"",""coordinates"":[-70.00864642760584,12.491030185865347]}"
37,1,"{""type"":""Point"",""coordinates"":[-70.00898975035975,12.489731297085132]}"
38,1,"{""type"":""Point"",""coordinates"":[-70.00933813254517,12.489085555032572]}"
39,1,"{""type"":""Point"",""coordinates"":[-70.00873731772583,12.489630252481435]}"
