system:index,landcover,.geo
0,9,"{""type"":""Point"",""coordinates"":[-69.91295461215503,12.487825778020493]}"
1,9,"{""type"":""Point"",""coordinates"":[-69.9121392206145,12.487511527440253]}"
2,9,"{""type"":""Point"",""coordinates"":[-69.91308335818775,12.487281076772138]}"
3,9,"{""type"":""Point"",""coordinates"":[-69.91160277881153,12.486924925335831]}"
4,9,"{""type"":""Point"",""coordinates"":[-69.9133623079253,12.48675732449029]}"
5,9,"{""type"":""Point"",""coordinates"":[-69.91274731328599,12.487287815467143]}"
6,9,"{""type"":""Point"",""coordinates"":[-69.91375582387559,12.486407911050936]}"
7,9,"{""type"":""Point"",""coordinates"":[-69.91405623128526,12.486847863633098]}"
8,9,"{""type"":""Point"",""coordinates"":[-69.91407768895738,12.487769666617435]}"
9,9,"{""type"":""Point"",""coordinates"":[-69.91394894292466,12.488599781857355]}"
10,9,"{""type"":""Point"",""coordinates"":[-69.91332667043321,12.488704531652514]}"
11,9,"{""type"":""Point"",""coordinates"":[-69.91300480535142,12.488264582227727]}"
12,9,"{""type"":""Point"",""coordinates"":[-69.91341250112168,12.487761781968937]}"
13,9,"{""type"":""Point"",""coordinates"":[-69.91240399053208,12.488055082238654]}"
14,9,"{""type"":""Point"",""coordinates"":[-69.91248982122056,12.487615131709385]}"
15,9,"{""type"":""Point"",""coordinates"":[-69.91276877095811,12.487071741439491]}"
16,9,"{""type"":""Point"",""coordinates"":[-69.91330521276109,12.48656893886246]}"
17,9,"{""type"":""Point"",""coordinates"":[-69.91345541646592,12.48757454303937]}"
18,9,"{""type"":""Point"",""coordinates"":[-69.9140991466295,12.487595493084832]}"
19,9,"{""type"":""Point"",""coordinates"":[-69.91109507253282,12.487134591692914]}"
20,9,"{""type"":""Point"",""coordinates"":[-69.9092146624361,12.48227222701498]}"
21,9,"{""type"":""Point"",""coordinates"":[-69.90897862804279,12.481811316141611]}"
22,9,"{""type"":""Point"",""coordinates"":[-69.9088713396822,12.48174846459528]}"
23,9,"{""type"":""Point"",""coordinates"":[-69.90822760951862,12.481434206634743]}"
24,9,"{""type"":""Point"",""coordinates"":[-69.90816323650226,12.481057096578452]}"
25,9,"{""type"":""Point"",""coordinates"":[-69.90854947460042,12.480847590754232]}"
26,9,"{""type"":""Point"",""coordinates"":[-69.9095365275179,12.48120375055452]}"
27,9,"{""type"":""Point"",""coordinates"":[-69.90807740581378,12.482104623155989]}"
28,9,"{""type"":""Point"",""coordinates"":[-69.908656762961,12.482628384854948]}"
29,9,"{""type"":""Point"",""coordinates"":[-69.90927903545246,12.482397929838]}"
30,9,"{""type"":""Point"",""coordinates"":[-69.9096652735506,12.482439830765426]}"
31,9,"{""type"":""Point"",""coordinates"":[-69.90957944286212,12.482020821185795]}"
32,9,"{""type"":""Point"",""coordinates"":[-69.90934340846881,12.481727514076459]}"
33,9,"{""type"":""Point"",""coordinates"":[-69.90869967830524,12.481371354996837]}"
34,9,"{""type"":""Point"",""coordinates"":[-69.90818469417438,12.48231412796276]}"
35,9,"{""type"":""Point"",""coordinates"":[-69.90848510158405,12.482188425099046]}"
36,9,"{""type"":""Point"",""coordinates"":[-69.90842072856769,12.481538959330646]}"
37,9,"{""type"":""Point"",""coordinates"":[-69.90923612010822,12.481664662509784]}"
38,9,"{""type"":""Point"",""coordinates"":[-69.90979401958332,12.481978920190521]}"
39,9,"{""type"":""Point"",""coordinates"":[-69.90889279735431,12.482607434407353]}"
