system:index,landcover,.geo
0,15,"{""type"":""Point"",""coordinates"":[-69.92363322545404,12.440027072283398]}"
1,15,"{""type"":""Point"",""coordinates"":[-69.92314506341333,12.439707525273022]}"
2,15,"{""type"":""Point"",""coordinates"":[-69.92169580655053,12.438847569614936]}"
3,15,"{""type"":""Point"",""coordinates"":[-69.92190069723189,12.442085800214313]}"
4,15,"{""type"":""Point"",""coordinates"":[-69.92286629247725,12.442693457479855]}"
5,15,"{""type"":""Point"",""coordinates"":[-69.92393917608321,12.44333254375942]}"
6,15,"{""type"":""Point"",""coordinates"":[-69.92894254304355,12.444728449463781]}"
7,15,"{""type"":""Point"",""coordinates"":[-69.92948434926456,12.444927507733171]}"
8,15,"{""type"":""Point"",""coordinates"":[-69.93316975268503,12.445951610984563]}"
9,15,"{""type"":""Point"",""coordinates"":[-69.9336847368159,12.446035424616452]}"
10,15,"{""type"":""Point"",""coordinates"":[-69.93508746196983,12.446443988279592]}"
11,15,"{""type"":""Point"",""coordinates"":[-69.93575302273511,12.446655653663075]}"
12,15,"{""type"":""Point"",""coordinates"":[-69.93813853638906,12.447461573854937]}"
13,15,"{""type"":""Point"",""coordinates"":[-69.95850516581692,12.45781800471531]}"
14,15,"{""type"":""Point"",""coordinates"":[-69.95899869227566,12.458258005857777]}"
15,15,"{""type"":""Point"",""coordinates"":[-69.96735236566424,12.467543314651897]}"
16,15,"{""type"":""Point"",""coordinates"":[-69.96780297677873,12.467962347655693]}"
17,15,"{""type"":""Point"",""coordinates"":[-69.9682282327405,12.468419477618117]}"
18,15,"{""type"":""Point"",""coordinates"":[-69.96894148808941,12.469143776319871]}"
19,15,"{""type"":""Point"",""coordinates"":[-69.96925262433514,12.469489476461675]}"
20,15,"{""type"":""Point"",""coordinates"":[-69.97976847184026,12.480670069403178]}"
21,15,"{""type"":""Point"",""coordinates"":[-69.98030491364324,12.481193834005008]}"
22,15,"{""type"":""Point"",""coordinates"":[-69.98888573662965,12.490102368123082]}"
23,15,"{""type"":""Point"",""coordinates"":[-69.98922905938356,12.490542314422171]}"
24,15,"{""type"":""Point"",""coordinates"":[-69.9914871686365,12.493136383460786]}"
25,15,"{""type"":""Point"",""coordinates"":[-69.99546945449978,12.497361900683321]}"
26,15,"{""type"":""Point"",""coordinates"":[-70.01005671740468,12.508839244939999]}"
27,15,"{""type"":""Point"",""coordinates"":[-70.01096866846974,12.509897133078148]}"
28,15,"{""type"":""Point"",""coordinates"":[-70.01126907587941,12.51039989027809]}"
29,15,"{""type"":""Point"",""coordinates"":[-70.0355899358348,12.545358701733818]}"
30,15,"{""type"":""Point"",""coordinates"":[-70.03504276519577,12.545306338337609]}"
31,15,"{""type"":""Point"",""coordinates"":[-70.03358364349167,12.54539011976643]}"
32,15,"{""type"":""Point"",""coordinates"":[-70.03233909850876,12.545756663197006]}"
33,15,"{""type"":""Point"",""coordinates"":[-69.96911393692538,12.529103859487256]}"
34,15,"{""type"":""Point"",""coordinates"":[-69.97043092021472,12.532029746498973]}"
