system:index,landcover,.geo
0,12,"{""type"":""Point"",""coordinates"":[-70.03509547262358,12.60841723724496]}"
1,12,"{""type"":""Point"",""coordinates"":[-70.03550316839384,12.608940742060273]}"
2,12,"{""type"":""Point"",""coordinates"":[-70.03655459432768,12.609757407435655]}"
3,12,"{""type"":""Point"",""coordinates"":[-70.03736998586821,12.610029628648798]}"
4,12,"{""type"":""Point"",""coordinates"":[-70.03479506521391,12.60787279110205]}"
5,12,"{""type"":""Point"",""coordinates"":[-70.03445174246,12.607349284104156]}"
6,12,"{""type"":""Point"",""coordinates"":[-70.03492381124663,12.60749586617142]}"
7,12,"{""type"":""Point"",""coordinates"":[-70.02924203987908,12.604871795498779]}"
8,12,"{""type"":""Point"",""coordinates"":[-70.02810478325677,12.604390163458474]}"
9,12,"{""type"":""Point"",""coordinates"":[-70.01283766197521,12.584018580814453]}"
10,12,"{""type"":""Point"",""coordinates"":[-70.01137854027111,12.583159948903594]}"
11,12,"{""type"":""Point"",""coordinates"":[-70.01150728630383,12.58368350528854]}"
12,12,"{""type"":""Point"",""coordinates"":[-70.01077772545177,12.582950526050594]}"
13,12,"{""type"":""Point"",""coordinates"":[-70.01028419899303,12.583034295212297]}"
14,12,"{""type"":""Point"",""coordinates"":[-70.00983358787853,12.582510737503148]}"
15,12,"{""type"":""Point"",""coordinates"":[-70.0101305423515,12.58261159804107]}"
16,12,"{""type"":""Point"",""coordinates"":[-70.00129721777927,12.573047715652823]}"
17,12,"{""type"":""Point"",""coordinates"":[-70.00080369132053,12.572859227670403]}"
18,12,"{""type"":""Point"",""coordinates"":[-70.00039599555026,12.572817341433309]}"
19,12,"{""type"":""Point"",""coordinates"":[-70.00024579184543,12.572293762893372]}"
20,12,"{""type"":""Point"",""coordinates"":[-69.99975226538669,12.572524137582414]}"
21,12,"{""type"":""Point"",""coordinates"":[-70.00013850348483,12.572272819729584]}"
22,12,"{""type"":""Point"",""coordinates"":[-70.00125430243503,12.572943000124107]}"
23,12,"{""type"":""Point"",""coordinates"":[-69.99882958548557,12.571204716112392]}"
24,12,"{""type"":""Point"",""coordinates"":[-69.99739192145358,12.570408871314768]}"
25,12,"{""type"":""Point"",""coordinates"":[-69.99775670187961,12.5706811342861]}"
26,12,"{""type"":""Point"",""coordinates"":[-69.96991049759856,12.55054992366293]}"
27,12,"{""type"":""Point"",""coordinates"":[-69.96935259812345,12.550298584332502]}"
28,12,"{""type"":""Point"",""coordinates"":[-69.97190606110563,12.551722837292814]}"
29,12,"{""type"":""Point"",""coordinates"":[-69.97220646851531,12.551974175232305]}"
30,12,"{""type"":""Point"",""coordinates"":[-69.94743347916666,12.539567690346063]}"
31,12,"{""type"":""Point"",""coordinates"":[-69.94726181778971,12.539211611035308]}"
32,12,"{""type"":""Point"",""coordinates"":[-69.9468112066752,12.538813639458494]}"
33,12,"{""type"":""Point"",""coordinates"":[-69.94631768021647,12.538750801784888]}"
34,12,"{""type"":""Point"",""coordinates"":[-69.94597435746256,12.538352829496208]}"
35,12,"{""type"":""Point"",""coordinates"":[-69.94548083100382,12.538352829496212]}"
36,12,"{""type"":""Point"",""coordinates"":[-69.94578123841349,12.538248099844369]}"
37,12,"{""type"":""Point"",""coordinates"":[-69.9456578567988,12.538258572811475]}"
38,12,"{""type"":""Point"",""coordinates"":[-69.94609773907725,12.538619889915683]}"
39,12,"{""type"":""Point"",""coordinates"":[-69.94709015641276,12.539023098259776]}"
