system:index,landcover,.geo
0,11,"{""type"":""Point"",""coordinates"":[-70.04581490587589,12.574430618022541]}"
1,11,"{""type"":""Point"",""coordinates"":[-70.04582563471195,12.57495419220714]}"
2,11,"{""type"":""Point"",""coordinates"":[-70.04573980402347,12.575393993697425]}"
3,11,"{""type"":""Point"",""coordinates"":[-70.04553595613834,12.575760494364058]}"
4,11,"{""type"":""Point"",""coordinates"":[-70.04536429476138,12.576284065837758]}"
5,11,"{""type"":""Point"",""coordinates"":[-70.04590073656436,12.574106001492122]}"
6,11,"{""type"":""Point"",""coordinates"":[-70.04606166910527,12.573624311690999]}"
7,11,"{""type"":""Point"",""coordinates"":[-70.04620114397403,12.573278751059876]}"
8,11,"{""type"":""Point"",""coordinates"":[-70.04630843233463,12.57308702542893]}"
9,11,"{""type"":""Point"",""coordinates"":[-70.04635134767886,12.572699577818765]}"
10,11,"{""type"":""Point"",""coordinates"":[-70.0466088397443,12.572322601204771]}"
11,11,"{""type"":""Point"",""coordinates"":[-70.04676977228519,12.571924680845447]}"
12,11,"{""type"":""Point"",""coordinates"":[-70.0468448741376,12.571673362406223]}"
13,11,"{""type"":""Point"",""coordinates"":[-70.04688778948184,12.57149534502969]}"
14,11,"{""type"":""Point"",""coordinates"":[-70.04708090853092,12.57122308292114]}"
15,11,"{""type"":""Point"",""coordinates"":[-70.04709163736698,12.570919405613544]}"
16,11,"{""type"":""Point"",""coordinates"":[-70.0472834902591,12.57054366219317]}"
17,11,"{""type"":""Point"",""coordinates"":[-70.04738004978364,12.570198097418467]}"
18,11,"{""type"":""Point"",""coordinates"":[-70.04754098232455,12.569852532179043]}"
19,11,"{""type"":""Point"",""coordinates"":[-70.04772337253755,12.569580268329748]}"
20,11,"{""type"":""Point"",""coordinates"":[-70.04819364334044,12.56871462621178]}"
21,11,"{""type"":""Point"",""coordinates"":[-70.04840822006163,12.567950188979493]}"
22,11,"{""type"":""Point"",""coordinates"":[-70.04888028884825,12.567573205397654]}"
23,11,"{""type"":""Point"",""coordinates"":[-70.04894764176022,12.617884893821723]}"
24,11,"{""type"":""Point"",""coordinates"":[-70.04872233620297,12.618052409284882]}"
25,11,"{""type"":""Point"",""coordinates"":[-70.04828245392453,12.617654559880892]}"
26,11,"{""type"":""Point"",""coordinates"":[-70.04638344994198,12.616073625875247]}"
27,11,"{""type"":""Point"",""coordinates"":[-70.04564316025387,12.615968927914261]}"
28,11,"{""type"":""Point"",""coordinates"":[-70.0481322502197,12.617445165209336]}"
29,11,"{""type"":""Point"",""coordinates"":[-70.0488725399078,12.617487044157365]}"
30,11,"{""type"":""Point"",""coordinates"":[-70.04985959282529,12.618240864049872]}"
31,11,"{""type"":""Point"",""coordinates"":[-70.04893691292416,12.61848166715875]}"
32,11,"{""type"":""Point"",""coordinates"":[-69.93805584533128,12.526608571910783]}"
33,11,"{""type"":""Point"",""coordinates"":[-69.93775543792161,12.526922774927034]}"
34,11,"{""type"":""Point"",""coordinates"":[-69.93721899611863,12.526943721781167]}"
35,11,"{""type"":""Point"",""coordinates"":[-69.93442949874314,12.526336262320356]}"
36,11,"{""type"":""Point"",""coordinates"":[-69.93522343261155,12.526482890597084]}"
37,11,"{""type"":""Point"",""coordinates"":[-69.91098819089387,12.497502340763718]}"
38,11,"{""type"":""Point"",""coordinates"":[-69.90755496335481,12.497502340763718]}"
39,11,"{""type"":""Point"",""coordinates"":[-69.90970073056673,12.49750234076372]}"
