system:index,landcover,.geo
0,0,"{""type"":""Point"",""coordinates"":[-70.0071746344356,12.479384077084948]}"
1,0,"{""type"":""Point"",""coordinates"":[-70.0060588354854,12.484328397269003]}"
2,0,"{""type"":""Point"",""coordinates"":[-70.0192767615108,12.483490383546572]}"
3,0,"{""type"":""Point"",""coordinates"":[-70.01489939639849,12.49262458667304]}"
4,0,"{""type"":""Point"",""coordinates"":[-70.02786189124626,12.489312102955344]}"
5,0,"{""type"":""Point"",""coordinates"":[-70.02288371131462,12.49869749034876]}"
6,0,"{""type"":""Point"",""coordinates"":[-70.03404170081657,12.49643497276697]}"
7,0,"{""type"":""Point"",""coordinates"":[-70.03450183156833,12.509597748877866]}"
8,0,"{""type"":""Point"",""coordinates"":[-70.06174991824331,12.521385568371423]}"
9,0,"{""type"":""Point"",""coordinates"":[-70.06123493411245,12.533618504179584]}"
10,0,"{""type"":""Point"",""coordinates"":[-70.06230865686038,12.552428423781702]}"
11,0,"{""type"":""Point"",""coordinates"":[-70.05132232873538,12.569686344409568]}"
12,0,"{""type"":""Point"",""coordinates"":[-70.07782762358447,12.55584734898678]}"
13,0,"{""type"":""Point"",""coordinates"":[-70.0663263113286,12.578298875632244]}"
14,0,"{""type"":""Point"",""coordinates"":[-70.058620460248,12.596454940668503]}"
15,0,"{""type"":""Point"",""coordinates"":[-70.06771851322651,12.616468491166643]}"
16,0,"{""type"":""Point"",""coordinates"":[-70.04557419559956,12.623504085147918]}"
17,0,"{""type"":""Point"",""coordinates"":[-70.02686310551167,12.610437828123338]}"
18,0,"{""type"":""Point"",""coordinates"":[-70.01525682283376,12.59810610460904]}"
19,0,"{""type"":""Point"",""coordinates"":[-70.00718873811697,12.585876235942562]}"
20,0,"{""type"":""Point"",""coordinates"":[-69.99620240999197,12.580012393527465]}"
21,0,"{""type"":""Point"",""coordinates"":[-69.98489909246021,12.568733162429382]}"
22,0,"{""type"":""Point"",""coordinates"":[-69.98489909246021,12.568733162429382]}"
23,0,"{""type"":""Point"",""coordinates"":[-69.98026423528248,12.563874235368674]}"
24,0,"{""type"":""Point"",""coordinates"":[-69.9742668574697,12.558355512465251]}"
25,0,"{""type"":""Point"",""coordinates"":[-69.96190723832908,12.553831504195385]}"
26,0,"{""type"":""Point"",""coordinates"":[-69.95143589433494,12.541096831703909]}"
27,0,"{""type"":""Point"",""coordinates"":[-69.96817268949235,12.549914730189974]}"
28,0,"{""type"":""Point"",""coordinates"":[-69.96686377149308,12.549579610201143]}"
29,0,"{""type"":""Point"",""coordinates"":[-69.96540464978898,12.548930313981126]}"
30,0,"{""type"":""Point"",""coordinates"":[-69.96335155418117,12.54680726350093]}"
31,0,"{""type"":""Point"",""coordinates"":[-69.9628151123782,12.546472139466623]}"
32,0,"{""type"":""Point"",""coordinates"":[-69.96071226051052,12.544964075914198]}"
33,0,"{""type"":""Point"",""coordinates"":[-69.95938188483913,12.54488029434674]}"
34,0,"{""type"":""Point"",""coordinates"":[-69.95740777900417,12.544628949480812]}"
35,0,"{""type"":""Point"",""coordinates"":[-69.9562062932473,12.541264306426706]}"
36,0,"{""type"":""Point"",""coordinates"":[-69.906308467813,12.509213617476973]}"
37,0,"{""type"":""Point"",""coordinates"":[-69.8614615594341,12.456933160891955]}"
38,0,"{""type"":""Point"",""coordinates"":[-69.88686744322317,12.403624468348632]}"
39,0,"{""type"":""Point"",""coordinates"":[-69.95621863951223,12.436817957700612]}"
