system:index,landcover,.geo
0,17,"{""type"":""Point"",""coordinates"":[-70.01602241990183,12.56568939141777]}"
1,17,"{""type"":""Point"",""coordinates"":[-70.01585075852488,12.565678919566976]}"
2,17,"{""type"":""Point"",""coordinates"":[-70.01597950455759,12.565888356502018]}"
3,17,"{""type"":""Point"",""coordinates"":[-70.01582930085276,12.565961659388973]}"
4,17,"{""type"":""Point"",""coordinates"":[-70.01602241990183,12.566160624262467]}"
5,17,"{""type"":""Point"",""coordinates"":[-70.01586148736094,12.566181567924394]}"
6,17,"{""type"":""Point"",""coordinates"":[-70.0159258603773,12.565835997284255]}"
7,17,"{""type"":""Point"",""coordinates"":[-70.01593658921335,12.566024490418284]}"
8,17,"{""type"":""Point"",""coordinates"":[-70.0159258603773,12.565668447715746]}"
9,17,"{""type"":""Point"",""coordinates"":[-70.01606533524607,12.565951187549258]}"
10,17,"{""type"":""Point"",""coordinates"":[-70.01578638550852,12.565919772027566]}"
11,17,"{""type"":""Point"",""coordinates"":[-70.01802923711575,12.517664871939445]}"
12,17,"{""type"":""Point"",""coordinates"":[-70.01817944082059,12.517727714751999]}"
13,17,"{""type"":""Point"",""coordinates"":[-70.01817944082059,12.517727714751999]}"
14,17,"{""type"":""Point"",""coordinates"":[-70.01832964452542,12.517706767149518]}"
15,17,"{""type"":""Point"",""coordinates"":[-70.01826527150907,12.517560133884514]}"
16,17,"{""type"":""Point"",""coordinates"":[-70.0183081868533,12.518020981008231]}"
17,17,"{""type"":""Point"",""coordinates"":[-70.01798632177152,12.51827235181975]}"
18,17,"{""type"":""Point"",""coordinates"":[-70.01798632177152,12.51818856157644]}"
19,17,"{""type"":""Point"",""coordinates"":[-70.01813652547635,12.518062876160496]}"
20,17,"{""type"":""Point"",""coordinates"":[-70.01813652547635,12.518062876160496]}"
21,17,"{""type"":""Point"",""coordinates"":[-70.02414467366971,12.513119201249065]}"
22,17,"{""type"":""Point"",""coordinates"":[-70.02393009694852,12.513265837036924]}"
23,17,"{""type"":""Point"",""coordinates"":[-70.02393009694852,12.513265837036924]}"
24,17,"{""type"":""Point"",""coordinates"":[-70.02382280858792,12.512993513364604]}"
25,17,"{""type"":""Point"",""coordinates"":[-70.02371552022733,12.512700241396212]}"
26,17,"{""type"":""Point"",""coordinates"":[-70.02399446996488,12.51288877341413]}"
27,17,"{""type"":""Point"",""coordinates"":[-70.02393009694852,12.513056357314486]}"
28,17,"{""type"":""Point"",""coordinates"":[-70.02371552022733,12.513286784999826]}"
29,17,"{""type"":""Point"",""coordinates"":[-70.0451706327514,12.527746415789794]}"
30,17,"{""type"":""Point"",""coordinates"":[-70.04499897137444,12.52785114970895]}"
31,17,"{""type"":""Point"",""coordinates"":[-70.04523500576775,12.527913990040009]}"
32,17,"{""type"":""Point"",""coordinates"":[-70.04529937878411,12.527882569876388]}"
33,17,"{""type"":""Point"",""coordinates"":[-70.04552468434136,12.527997777124265]}"
34,17,"{""type"":""Point"",""coordinates"":[-70.04550322666924,12.528029197273856]}"
35,17,"{""type"":""Point"",""coordinates"":[-70.04550322666924,12.528029197273856]}"
36,17,"{""type"":""Point"",""coordinates"":[-70.04539593830864,12.528092037561521]}"
37,17,"{""type"":""Point"",""coordinates"":[-70.04541739598076,12.52796635697086]}"
38,17,"{""type"":""Point"",""coordinates"":[-70.04541739598076,12.527955883585536]}"
39,17,"{""type"":""Point"",""coordinates"":[-70.04534229412835,12.52767310202108]}"
