system:index,landcover,.geo
0,4,"{""type"":""Point"",""coordinates"":[-70.04888691724656,12.562586715564148]}"
1,4,"{""type"":""Point"",""coordinates"":[-70.04918732465623,12.56262860346864]}"
2,4,"{""type"":""Point"",""coordinates"":[-70.0490371209514,12.562105004172032]}"
3,4,"{""type"":""Point"",""coordinates"":[-70.0494877320659,12.562000284184776]}"
4,4,"{""type"":""Point"",""coordinates"":[-70.04925169767259,12.561707067993517]}"
5,4,"{""type"":""Point"",""coordinates"":[-70.0490371209514,12.561916508164245]}"
6,4,"{""type"":""Point"",""coordinates"":[-70.04905857862352,12.561560459772517]}"
7,4,"{""type"":""Point"",""coordinates"":[-70.04916586698411,12.561539515734118]}"
8,4,"{""type"":""Point"",""coordinates"":[-70.04953064741014,12.561330075256326]}"
9,4,"{""type"":""Point"",""coordinates"":[-70.04953064741014,12.561330075256326]}"
10,4,"{""type"":""Point"",""coordinates"":[-70.0498095971477,12.560953081966417]}"
11,4,"{""type"":""Point"",""coordinates"":[-70.0498095971477,12.560953081966417]}"
12,4,"{""type"":""Point"",""coordinates"":[-70.04963793577073,12.560994970137033]}"
13,4,"{""type"":""Point"",""coordinates"":[-70.04998125852464,12.56078552921572]}"
14,4,"{""type"":""Point"",""coordinates"":[-70.05015291990159,12.560806473315532]}"
15,4,"{""type"":""Point"",""coordinates"":[-70.05015291990159,12.56049231163929]}"
16,4,"{""type"":""Point"",""coordinates"":[-70.05002417386888,12.560261926166145]}"
17,4,"{""type"":""Point"",""coordinates"":[-70.05006708921312,12.560052484647803]}"
18,4,"{""type"":""Point"",""coordinates"":[-70.0502816659343,12.559822098780614]}"
19,4,"{""type"":""Point"",""coordinates"":[-70.05023875059007,12.559486991696286]}"
20,4,"{""type"":""Point"",""coordinates"":[-70.05036514917933,12.559158757996991]}"
21,4,"{""type"":""Point"",""coordinates"":[-70.05094450632654,12.558446653084191]}"
22,4,"{""type"":""Point"",""coordinates"":[-70.05105179468714,12.558195321467778]}"
23,4,"{""type"":""Point"",""coordinates"":[-70.0511161677035,12.55790210093822]}"
24,4,"{""type"":""Point"",""coordinates"":[-70.05070847193323,12.557839267924113]}"
25,4,"{""type"":""Point"",""coordinates"":[-70.05098742167078,12.557580248045664]}"
26,4,"{""type"":""Point"",""coordinates"":[-70.05098742167078,12.557580248045664]}"
27,4,"{""type"":""Point"",""coordinates"":[-70.05088013331019,12.55816668950433]}"
28,4,"{""type"":""Point"",""coordinates"":[-70.05040806452358,12.559025404942085]}"
29,4,"{""type"":""Point"",""coordinates"":[-70.05060453384576,12.559281537084278]}"
30,4,"{""type"":""Point"",""coordinates"":[-70.05021829574761,12.559365313963204]}"
31,4,"{""type"":""Point"",""coordinates"":[-70.0498749729937,12.560014583849728]}"
32,4,"{""type"":""Point"",""coordinates"":[-70.04974622696099,12.560433466777559]}"
33,4,"{""type"":""Point"",""coordinates"":[-70.04966039627251,12.56076857262857]}"
34,4,"{""type"":""Point"",""coordinates"":[-70.04927415817437,12.560978013563684]}"
35,4,"{""type"":""Point"",""coordinates"":[-70.04890937774834,12.561334062761926]}"
36,4,"{""type"":""Point"",""coordinates"":[-70.04867334335503,12.562150879647929]}"
37,4,"{""type"":""Point"",""coordinates"":[-70.04871625869927,12.562565014524205]}"
38,4,"{""type"":""Point"",""coordinates"":[-70.0494243618792,12.562606902432236]}"
39,4,"{""type"":""Point"",""coordinates"":[-70.0489737507647,12.56283728580438]}"
